meeting_date,agentic_mpu_7b,agentic_mpu_v4,agentic_mpu_sonnet,agentic_mpu_fable
1/30/1996,0.53667,0.915,0.075,0.04
3/26/1996,0.31667,0.22,0.034,0.029
5/21/1996,0.3,0.515,0.041,0.037
7/2/1996,0.30833,0.58333,0.04417,0.04333
8/20/1996,0.33889,0.3125,0.04917,0.04417
9/24/1996,0.31944,0.315,0.0475,0.05917
11/13/1996,0.34444,0.2375,0.05083,0.045
12/17/1996,0.28333,0.21667,0.05,0.0375
2/4/1997,0.37,0.425,0.06,0.045
3/25/1997,0.28,0.105,0.023,0.023
5/20/1997,0.43333,0.41,0.064,0.052
7/1/1997,0.40667,0.27,0.042,0.038
8/19/1997,0.36,0.285,0.058,0.044
9/30/1997,0.42,0.37,0.056,0.045
11/12/1997,0.34722,0.28083,0.04417,0.04833
12/16/1997,0.37222,0.22083,0.045,0.04333
2/3/1998,0.33611,0.12083,0.03,0.03
3/31/1998,0.27778,0.13083,0.02333,0.03167
5/19/1998,0.31944,0.175,0.03667,0.04333
6/30/1998,0.3197,0.16364,0.04273,0.05
8/18/1998,0.31364,0.25455,0.06636,0.04364
9/29/1998,0.41364,0.43182,0.06909,0.03909
11/17/1998,0.39242,0.40909,0.04364,0.04273
12/22/1998,0.33182,0.19545,0.03455,0.02909
2/2/1999,0.2803,0.19545,0.03273,0.03
3/30/1999,0.29242,0.19091,0.03727,0.03091
5/18/1999,0.2803,0.10909,0.03455,0.03455
6/29/1999,0.34,0.175,0.048,0.037
8/24/1999,0.32333,0.165,0.049,0.043
10/5/1999,0.26,0.197,0.046,0.034
11/16/1999,0.32,0.165,0.047,0.036
12/21/1999,0.28333,0.305,0.047,0.026
2/2/2000,0.25333,0.1,0.025,0.023
3/21/2000,0.26,0.07,0.024,0.022
5/16/2000,0.27,0.155,0.028,0.03
6/28/2000,0.45333,0.435,0.041,0.052
8/22/2000,0.43,0.26,0.039,0.041
10/3/2000,0.36667,0.258,0.036,0.037
11/15/2000,0.27,0.19,0.029,0.027
12/19/2000,0.31667,0.108,0.028,0.031
1/31/2001,0.39,0.1,0.033,0.035
3/20/2001,0.38333,0.165,0.028,0.03
5/15/2001,0.37,0.13,0.025,0.037
6/27/2001,0.37667,0.09,0.027,0.038
8/21/2001,0.37333,0.112,0.029,0.036
10/2/2001,0.38667,0.091,0.029,0.026
11/6/2001,0.36667,0.079,0.021,0.027
12/11/2001,0.38939,0.07727,0.03545,0.04
1/30/2002,0.35333,0.305,0.043,0.038
3/19/2002,0.33,0.24,0.069,0.037
5/7/2002,0.32667,0.135,0.069,0.031
6/26/2002,0.31667,0.205,0.053,0.03
8/13/2002,0.31111,0.18333,0.05583,0.03083
9/24/2002,0.31944,0.15833,0.0625,0.03833
11/6/2002,0.38333,0.31667,0.06833,0.03667
12/10/2002,0.33611,0.23333,0.06,0.02667
1/29/2003,0.33611,0.3625,0.0675,0.02833
3/18/2003,0.31111,0.37917,0.065,0.02667
5/6/2003,0.29444,0.25,0.0625,0.03083
6/25/2003,0.31111,0.13083,0.05583,0.035
8/12/2003,0.30278,0.35,0.07333,0.02667
9/16/2003,0.30278,0.1875,0.06583,0.02333
10/28/2003,0.33889,0.2225,0.04583,0.02417
12/9/2003,0.29444,0.12917,0.03083,0.02333
1/28/2004,0.275,0.075,0.03,0.02083
3/16/2004,0.26111,0.05,0.02917,0.02083
5/4/2004,0.29167,0.06667,0.0325,0.0275
6/30/2004,0.28333,0.2475,0.01833,0.0175
8/10/2004,0.29167,0.475,0.03,0.02333
9/21/2004,0.30833,0.23333,0.03667,0.02833
11/10/2004,0.32778,0.2125,0.03833,0.0225
12/14/2004,0.30278,0.32917,0.0375,0.02583
2/2/2005,0.31667,0.30417,0.04583,0.02667
3/22/2005,0.33333,0.21333,0.04667,0.03
5/3/2005,0.31061,0.23182,0.04455,0.02727
6/30/2005,0.31667,0.16364,0.02273,0.02636
8/9/2005,0.3,0.145,0.023,0.025
9/20/2005,0.33667,0.173,0.028,0.046
11/1/2005,0.35,0.096,0.029,0.031
12/13/2005,0.31333,0.125,0.023,0.026
1/31/2006,0.29,0.065,0.02,0.025
3/28/2006,0.32576,0.10909,0.02091,0.02636
5/10/2006,0.32879,0.08182,0.02273,0.02636
6/29/2006,0.35333,0.086,0.022,0.027
8/8/2006,0.36333,0.185,0.073,0.075
9/20/2006,0.36515,0.31818,0.06727,0.06455
10/25/2006,0.35,0.19545,0.05909,0.06091
12/12/2006,0.30152,0.19545,0.06273,0.06182
1/31/2007,0.30152,0.11364,0.04364,0.03182
3/21/2007,0.32333,0.16,0.029,0.026
5/9/2007,0.29,0.14,0.025,0.021
6/28/2007,0.26667,0.06,0.022,0.02
8/7/2007,0.26333,0.075,0.023,0.02
9/18/2007,0.42333,0.4,0.044,0.046
10/31/2007,0.41667,0.165,0.032,0.046
12/11/2007,0.40667,0.24,0.041,0.045
1/30/2008,0.43667,0.277,0.059,0.057
3/18/2008,0.39,0.275,0.131,0.126
4/30/2008,0.38333,0.26,0.122,0.117
6/25/2008,0.38,0.243,0.087,0.097
8/5/2008,0.41061,0.27273,0.08182,0.07818
9/16/2008,0.44,0.42,0.059,0.044
10/29/2008,0.37667,0.165,0.05,0.054
12/16/2008,0.37333,0.055,0.035,0.044
1/28/2009,0.49444,0.14667,0.03667,0.03667
3/18/2009,0.52667,0.065,0.034,0.034
4/29/2009,0.52667,0.119,0.035,0.033
6/24/2009,0.40667,0.085,0.031,0.034
8/12/2009,0.29667,0.135,0.03,0.032
9/23/2009,0.37333,0.14,0.031,0.034
11/4/2009,0.42333,0.102,0.045,0.037
12/16/2009,0.43333,0.159,0.038,0.04
1/27/2010,0.37333,0.075,0.035,0.047
3/16/2010,0.31667,0.107,0.026,0.049
4/28/2010,0.35333,0.133,0.035,0.058
6/23/2010,0.33333,0.162,0.034,0.055
8/10/2010,0.37,0.335,0.036,0.067
9/21/2010,0.38704,0.33333,0.03889,0.07
11/3/2010,0.35909,0.23455,0.05545,0.06273
12/14/2010,0.41364,0.43455,0.10182,0.09273
1/26/2011,0.46515,0.10364,0.06545,0.04455
3/15/2011,0.36333,0.243,0.071,0.048
4/27/2011,0.40667,0.203,0.086,0.062
6/22/2011,0.45,0.367,0.096,0.056
8/9/2011,0.43333,0.27,0.106,0.072
9/21/2011,0.43667,0.36,0.089,0.077
11/2/2011,0.42,0.355,0.072,0.079
12/13/2011,0.38,0.22,0.066,0.079
1/25/2012,0.38667,0.14,0.0665,0.052
